Date,LIVEPOLC1,MEXBOL,CETES91
22/05/2015,170.5,44874.03906,3.049919
25/05/2015,171.460007,44852.28906,3.053233
26/05/2015,172.839996,44401.39844,3.088183
27/05/2015,173.360001,44682.58984,3.100017
28/05/2015,174.589996,44807.30859,3.079996
29/05/2015,173.169998,44703.62109,3.073516
01/06/2015,175.190002,44760.10156,3.071374
02/06/2015,174.75,44931.48047,3.080324
03/06/2015,176.190002,44732.71875,3.08141
04/06/2015,176.429993,44561.10938,3.099846
05/06/2015,175.399994,44561.94141,3.109994
08/06/2015,177.539993,44544.05078,3.108712
09/06/2015,178.559998,44519.21094,3.11397
10/06/2015,179.039993,44578.28125,3.119142
11/06/2015,178.820007,44624.73828,3.129985
12/06/2015,178.169998,44692.5,3.12531
15/06/2015,179.240005,44395.76172,3.133957
16/06/2015,179.360001,44722.28125,3.135002
17/06/2015,179.559998,44792.03906,3.130016
18/06/2015,179.679993,45120.78906,3.107882
19/06/2015,177.899994,44973.41016,3.090007
22/06/2015,182,45224.98047,3.089979
23/06/2015,182.25,45454.14844,3.104879
24/06/2015,182.509995,45424.94141,3.100017
25/06/2015,183.919998,45377.12109,3.106757
26/06/2015,185.009995,45566.32813,3.113447
29/06/2015,181.929993,44710.35156,3.105982
30/06/2015,181.539993,45053.69922,3.107003
01/07/2015,182.039993,44928.51953,3.100447
02/07/2015,184.350006,45175.57813,3.10298
03/07/2015,183.110001,45065.46875,3.1
06/07/2015,182.550003,44794.01172,3.103041
07/07/2015,184.029999,45017.75,3.112058
08/07/2015,184.070007,44497.73828,3.112137
09/07/2015,184.039993,44564.32031,3.11821
10/07/2015,186.089996,44915.98047,3.119987
13/07/2015,186.440002,44990.39063,3.123455
14/07/2015,187.389999,45136.69141,3.128118
15/07/2015,189.440002,45107.12891,3.126234
16/07/2015,193.320007,45344.89844,3.134165
17/07/2015,193,45325.37891,3.129982
20/07/2015,193.020004,45567.98828,3.135092
21/07/2015,193.009995,45401.23047,3.140271
22/07/2015,189.880005,44670.42188,3.141536
23/07/2015,192.979996,44836.32813,3.147468
24/07/2015,189.119995,44249.48828,3.144771
27/07/2015,190.869995,43713.71875,3.149165
28/07/2015,186.770004,44222.96875,3.143755
29/07/2015,181.589996,44471.28906,3.178247
30/07/2015,184.929993,44373.30859,3.209816
31/07/2015,188.600006,44752.92969,3.219994
03/08/2015,189.520004,44903.94922,3.222614
04/08/2015,191.529999,45177.98047,3.224164
05/08/2015,191.699997,44937.60938,3.235776
06/08/2015,192.360001,44921.21875,3.257465
07/08/2015,192.869995,44862.14063,3.259994
10/08/2015,191.100006,45320.69141,3.292179
11/08/2015,190.270004,44379.78906,3.33416
12/08/2015,190.419998,44032.37891,3.345117
13/08/2015,192.470001,43870.53125,3.359596
14/08/2015,189.789993,43746.71875,3.341157
17/08/2015,187.009995,43953.48047,3.340405
18/08/2015,186.770004,43872.12109,3.370357
19/08/2015,188.979996,43473.73828,3.349548
20/08/2015,193.300003,43036.58984,3.34998
21/08/2015,186.119995,42163.82031,3.364382
24/08/2015,180.110001,41471.46875,3.399999
25/08/2015,188.460007,42010.89063,3.444001
26/08/2015,185.600006,42323.03906,3.449219
27/08/2015,188.25,43452.35938,3.399996
28/08/2015,192.770004,43290.85938,3.400017
31/08/2015,199.880005,43721.96094,3.391166
01/09/2015,197.970001,42911.51172,3.380013
02/09/2015,196.229996,42969.92969,3.374333
03/09/2015,205.75,43283.46875,3.37042
04/09/2015,209.949997,42742.85938,3.362755
07/09/2015,209.990005,42756.26172,3.366604
08/09/2015,212.020004,43083.94141,3.39001
09/09/2015,207.229996,42754.67969,3.375365
10/09/2015,211.029999,42888.51172,3.379996
11/09/2015,210.380005,42780.73047,3.369995
14/09/2015,213.169998,42827.35156,3.364291
15/09/2015,215.020004,43269.62109,3.351428
